[+] hooked kernel32.dll!CreateFileA @ 0x7700e9f0
[+] hooked kernel32.dll!CreateFileW @ 0x7700ea00
[filetrace] ready, t0 set
[0.630s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.630s] OPEN CreateFileW  \\?\hid#vid_1ca2&pid_160f&mi_01&col03#a&224eb720&0&0002#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.630s] OPEN CreateFileW  C:\WINDOWS\INF\hidserv.PNF
[0.630s] OPEN CreateFileW  \\?\hid#vid_1532&pid_0099&mi_00&col03#a&3b41bd4d&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.631s] OPEN CreateFileW  C:\WINDOWS\INF\hidserv.PNF
[0.631s] OPEN CreateFileW  \\?\hid#vid_1532&pid_0099&mi_01&col02#9&2062f96c&0&0001#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.631s] OPEN CreateFileW  C:\WINDOWS\INF\msmouse.PNF
[0.631s] FAIL CreateFileW  \\?\hid#vid_1ca2&pid_160f&mi_01&col04#a&224eb720&0&0003#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.632s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.632s] OPEN CreateFileW  \\?\hid#vid_1532&pid_0099&mi_01&col03#9&2062f96c&0&0002#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.633s] OPEN CreateFileW  C:\WINDOWS\INF\msmouse.PNF
[0.633s] FAIL CreateFileW  \\?\hid#vid_046d&pid_c548&mi_01&col01#a&3863c538&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.633s] OPEN CreateFileW  C:\WINDOWS\INF\input.PNF
[0.634s] OPEN CreateFileW  \\?\hid#vid_1532&pid_0099&mi_01&col04#9&2062f96c&0&0003#{4d1e55b2-f16f-11cf-88cb-001111000030}
[0.634s] OPEN CreateFileW  C:\WINDOWS\INF\keyboard.PNF
[0.635s] FAIL CreateFileW  \\?\hid#vid_1ca2&pid_160f&mi_01&col01#a&224eb720&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}\kbd
[0.635s] OPEN CreateFileW  C:\WINDOWS\INF\hidserv.PNF
[0.635s] OPEN CreateFileW  \\?\hid#vid_046d&pid_c548&mi_01&col02#a&3863c538&0&0001#{4d1e55b2-f16f-11cf-88cb-001111000030}
