total rows scanned: 3996551
Giants.exe events: 14037

== operations ==
 11032  ReadFile
04:32:18,3368137 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:19,3309408 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:20,3299035 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:21,3272523 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:22,3390591 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:23,3377260 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:24,3368871 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:25,3332243 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:26,3333106 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:27,3312514 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:28,3293594 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:29,3280004 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:30,3402511 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:31,3390896 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:32,3328508 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:33,3313957 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:34,3310373 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:35,3346220 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:36,3370376 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:37,3392499 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:38,3392090 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:39,3322993 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:40,3327608 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:41,3345282 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:42,3375168 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:43,3366847 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:44,3363546 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:45,3287408 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:46,3319213 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:47,3322620 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:48,3360995 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:49,3379658 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
04:32:50,3404416 Process Profiling             [SUCCESS] User Time: 0.0156250 seconds, Kernel Time: 0.2812500 seconds
