addr,size,kind,bind,section,demangled,mangled
0x000002b0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_0,v1c_setMem_0
0x000002c0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_1,v1c_setMem_1
0x000002c0,0,NOTYPE,STB_LOCAL,13,No_Bonez,No_Bonez
0x000002d0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_2,v1c_setMem_2
0x000002e0,0,NOTYPE,STB_LOCAL,4,v1c_setMem,v1c_setMem
0x000002f0,0,NOTYPE,STB_LOCAL,4,setMem_,setMem_
0x000002f0,0,NOTYPE,STB_LOCAL,12,BA_lup,BA_lup
0x00000328,0,NOTYPE,STB_LOCAL,4,v1c_quatToMtx,v1c_quatToMtx
0x00000340,0,NOTYPE,STB_LOCAL,4,v1c_gosubIcmds0,v1c_gosubIcmds0
0x00000349,0,NOTYPE,STB_LOCAL,SHN_ABS,m_p2uv_x0,m_p2uv_x0
0x0000034a,0,NOTYPE,STB_LOCAL,SHN_ABS,m_p2uv_x1,m_p2uv_x1
0x0000034b,0,NOTYPE,STB_LOCAL,SHN_ABS,t_move,t_move
0x0000034c,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_gifBuf2,v1m_gifBuf2
0x00000350,0,NOTYPE,STB_LOCAL,4,v1c_gosubFcmds0,v1c_gosubFcmds0
0x00000358,0,NOTYPE,STB_LOCAL,4,gosubEntry,gosubEntry
0x00000360,0,NOTYPE,STB_LOCAL,12,BA_dotPos,BA_dotPos
0x00000368,0,NOTYPE,STB_LOCAL,4,v1c_scaleO2p,v1c_scaleO2p
0x00000378,0,NOTYPE,STB_LOCAL,4,v1c_loadBones,v1c_loadBones
0x00000388,0,NOTYPE,STB_LOCAL,4,v1c_stopReloadCmds,v1c_stopReloadCmds
0x00000398,0,NOTYPE,STB_LOCAL,4,v1c_fixedAlpha,v1c_fixedAlpha
0x00000398,0,NOTYPE,STB_LOCAL,12,concatenateBones_,concatenateBones_
0x000003a8,0,NOTYPE,STB_LOCAL,4,v1c_goto,v1c_goto
0x000003b8,0,NOTYPE,STB_LOCAL,4,v1c_rndrBufsEnd2d,v1c_rndrBufsEnd2d
0x000003c8,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzwU32,v1c_setMem_xyzwU32
0x000003c8,0,NOTYPE,STB_LOCAL,12,CB_lup,CB_lup
0x000003d8,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzwQuadOfst,v1c_setMem_xyzwQuadOfst
0x000003e0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzwQuad,v1c_setMem_xyzwQuad
